path,label,class_name,folder
data/Safe/int_video1_frame000302.jpg,0,Safe,Safe
data/High/83c0d149-a47e6d00.jpg,2,High Risk,High
data/Safe/int_video2_frame000054.jpg,0,Safe,Safe
data/High/c3fcfa68-43c4f28f.jpg,2,High Risk,High
data/High/yt_video1_frame000151.jpg,2,High Risk,High
data/High/custom_moderate_city_traffic_0136.jpg,2,High Risk,High
data/High/0013321_image.jpg,2,High Risk,High
data/High/075a4b25-bbe29ca1.jpg,2,High Risk,High
data/Safe/int_video3_frame005503.jpg,0,Safe,Safe
data/High/yt_video1_frame004031.jpg,2,High Risk,High
data/High/yt_video1_frame000099.jpg,2,High Risk,High
data/High/6a101856-0b8d4615.jpg,2,High Risk,High
data/Moderate/0b0e1eb1-399a3892.jpg,1,Moderate Risk,Moderate
data/High/yt_video1_frame002342.jpg,2,High Risk,High
data/High/yt_video1_frame002735.jpg,2,High Risk,High
data/High/yt_video1_frame000635.jpg,2,High Risk,High
data/High/yt_video3_frame003039.jpg,2,High Risk,High
data/Safe/int_video2_frame000613.jpg,0,Safe,Safe
data/High/6aa84d01-d017407b.jpg,2,High Risk,High
data/High/yt_video1_frame000935.jpg,2,High Risk,High
data/High/yt_video3_frame011378.jpg,2,High Risk,High
data/High/custom_high_risk_rain_0016.jpg,2,High Risk,High
data/Safe/yt_video3_frame006312.jpg,0,Safe,Safe
data/High/400103_inst_label.png,2,High Risk,High
data/High/bb0ea699-3d008331.jpg,2,High Risk,High
data/Safe/int_video3_frame002073.jpg,0,Safe,Safe
data/Moderate/yt_video3_frame000690.jpg,1,Moderate Risk,Moderate
data/High/1c227a12-ec67af93.jpg,2,High Risk,High
data/High/yt_video1_frame004079.jpg,2,High Risk,High
data/Safe/int_video2_frame000579.jpg,0,Safe,Safe
data/High/yt_video3_frame011639.jpg,2,High Risk,High
data/High/frame19658_inst_label.png,2,High Risk,High
data/Safe/int_video1_frame000359.jpg,0,Safe,Safe
data/High/8893e4e4-bcd97668.jpg,2,High Risk,High
data/Safe/int_video1_frame000003.jpg,0,Safe,Safe
data/High/custom_high_risk_rain_0058.jpg,2,High Risk,High
data/High/frame26162_inst_label.png,2,High Risk,High
data/High/c152d738-646ba59f.jpg,2,High Risk,High
data/Safe/int_video1_frame000019.jpg,0,Safe,Safe
data/High/0003365_inst_label.png,2,High Risk,High
data/Safe/yt_video2_frame001196.jpg,0,Safe,Safe
data/High/bbb1289a-b49fe5de.jpg,2,High Risk,High
data/Moderate/92353db9-6d934e53.jpg,1,Moderate Risk,Moderate
data/High/6a6df520-5dfdf499.jpg,2,High Risk,High
data/High/2c919e7c-264e0dd0.jpg,2,High Risk,High
data/High/318b4af7-56f6e1a5.jpg,2,High Risk,High
data/Moderate/frame45253_image.jpg,1,Moderate Risk,Moderate
data/High/5979f62d-9901d804.jpg,2,High Risk,High
data/Safe/int_video2_frame000561.jpg,0,Safe,Safe
data/High/0006628_inst_label.png,2,High Risk,High
data/High/4f5ac528-c39979ae.jpg,2,High Risk,High
data/High/yt_video3_frame000508.jpg,2,High Risk,High
data/Safe/yt_video1_frame002122.jpg,0,Safe,Safe
data/High/906946_image.jpg,2,High Risk,High
data/High/00322f82-286ab9b3.jpg,2,High Risk,High
data/High/326186_image.jpg,2,High Risk,High
data/Safe/int_video2_frame000605.jpg,0,Safe,Safe
data/High/int_video3_frame001157.jpg,2,High Risk,High
data/High/yt_video1_frame000394.jpg,2,High Risk,High
data/Safe/int_video1_frame000127.jpg,0,Safe,Safe
data/High/yt_video3_frame002839.jpg,2,High Risk,High
data/Safe/int_video3_frame004638.jpg,0,Safe,Safe
data/Safe/638763_image.jpg,0,Safe,Safe
data/High/812467_image.jpg,2,High Risk,High
data/High/adc75116-a21302ef.jpg,2,High Risk,High
data/High/int_video3_frame004403.jpg,2,High Risk,High
data/High/yt_video1_frame000756.jpg,2,High Risk,High
data/Safe/1cbd71fe-6940137c.jpg,0,Safe,Safe
data/High/0004045_label.png,2,High Risk,High
data/High/674919_inst_label.png,2,High Risk,High
data/High/3c92ca0c-54d0a402.jpg,2,High Risk,High
data/High/6d7da33d-f5c6b1a4.jpg,2,High Risk,High
data/High/custom_high_risk_rain_0066.jpg,2,High Risk,High
data/High/yt_video2_frame002491.jpg,2,High Risk,High
data/High/7fc97f72-db461629.jpg,2,High Risk,High
data/Safe/int_video2_frame000548.jpg,0,Safe,Safe
data/Safe/int_video2_frame000598.jpg,0,Safe,Safe
data/Safe/yt_video1_frame002528.jpg,0,Safe,Safe
data/High/yt_video3_frame013542.jpg,2,High Risk,High
data/Moderate/yt_video2_frame003109.jpg,1,Moderate Risk,Moderate
data/Safe/int_video2_frame000609.jpg,0,Safe,Safe
data/High/a54c6d9c-4d9eaaea.jpg,2,High Risk,High
data/High/yt_video3_frame003117.jpg,2,High Risk,High
data/High/0000450_label.png,2,High Risk,High
data/Safe/custom_safe_highway_0074.jpg,0,Safe,Safe
data/High/custom_safe_highway_0009.jpg,2,High Risk,High
data/High/yt_video1_frame001330.jpg,2,High Risk,High
data/High/yt_video3_frame011963.jpg,2,High Risk,High
data/High/custom_moderate_city_traffic_0124.jpg,2,High Risk,High
data/High/yt_video1_frame002351.jpg,2,High Risk,High
data/Safe/int_video1_frame000128.jpg,0,Safe,Safe
data/High/yt_video2_frame000668.jpg,2,High Risk,High
data/High/yt_video3_frame008022.jpg,2,High Risk,High
data/High/yt_video3_frame002804.jpg,2,High Risk,High
data/High/b888e048-80f768fc.jpg,2,High Risk,High
data/High/yt_video2_frame003858.jpg,2,High Risk,High
data/High/frame0260_inst_label.png,2,High Risk,High
data/Safe/int_video3_frame000745.jpg,0,Safe,Safe
data/High/012790_inst_label.png,2,High Risk,High
data/Safe/46dd9b4b-ce0273c5.jpg,0,Safe,Safe
data/High/int_video3_frame001219.jpg,2,High Risk,High
data/Safe/yt_video2_frame001151.jpg,0,Safe,Safe
data/Moderate/frame16617_image.jpg,1,Moderate Risk,Moderate
data/Safe/int_video1_frame000498.jpg,0,Safe,Safe
data/High/bc05c126-d00aeb9c.jpg,2,High Risk,High
data/High/yt_video3_frame003754.jpg,2,High Risk,High
data/High/yt_video3_frame002813.jpg,2,High Risk,High
data/High/056653_inst_label.png,2,High Risk,High
data/High/8275b707-acd15dff.jpg,2,High Risk,High
data/Safe/int_video1_frame000364.jpg,0,Safe,Safe
data/High/186cfc4e-0447250e.jpg,2,High Risk,High
data/Safe/int_video1_frame000399.jpg,0,Safe,Safe
data/High/int_video3_frame003714.jpg,2,High Risk,High
data/High/1d5df664-41480e86.jpg,2,High Risk,High
data/Safe/int_video1_frame000187.jpg,0,Safe,Safe
data/High/yt_video3_frame011075.jpg,2,High Risk,High
data/Safe/int_video2_frame000575.jpg,0,Safe,Safe
data/Safe/int_video1_frame000230.jpg,0,Safe,Safe
data/High/661385f5-a1c4ad00.jpg,2,High Risk,High
data/Safe/int_video1_frame000527.jpg,0,Safe,Safe
data/Moderate/yt_video2_frame000338.jpg,1,Moderate Risk,Moderate
data/High/yt_video3_frame008909.jpg,2,High Risk,High
data/Safe/frame16126_image.jpg,0,Safe,Safe
data/Safe/int_video1_frame000170.jpg,0,Safe,Safe
data/High/custom_high_risk_rain_0141.jpg,2,High Risk,High
data/High/b094efee-8aa80557.jpg,2,High Risk,High
data/High/yt_video2_frame003418.jpg,2,High Risk,High
data/High/yt_video3_frame005845.jpg,2,High Risk,High
data/Safe/int_video2_frame000370.jpg,0,Safe,Safe
data/High/yt_video2_frame001498.jpg,2,High Risk,High
data/High/frame11395_label.png,2,High Risk,High
data/High/3633f8df-ad70f891.jpg,2,High Risk,High
data/High/yt_video3_frame007332.jpg,2,High Risk,High
data/Safe/int_video3_frame004192.jpg,0,Safe,Safe
data/High/4e5f2571-da07b34f.jpg,2,High Risk,High
data/High/b1641638-f950af77.jpg,2,High Risk,High
data/Safe/int_video2_frame000063.jpg,0,Safe,Safe
data/Safe/int_video2_frame000391.jpg,0,Safe,Safe
data/High/yt_video2_frame003373.jpg,2,High Risk,High
data/Safe/806657_image.jpg,0,Safe,Safe
data/High/88a0d584-442af001.jpg,2,High Risk,High
data/Safe/int_video1_frame000401.jpg,0,Safe,Safe
data/Moderate/custom_high_risk_rain_0112.jpg,1,Moderate Risk,Moderate
data/High/0d2d0af8-19a7a53e.jpg,2,High Risk,High
data/Safe/int_video1_frame000533.jpg,0,Safe,Safe
data/High/69bd9c64-2c29f777.jpg,2,High Risk,High
data/High/yt_video1_frame001573.jpg,2,High Risk,High
data/High/1d288c57-7db44b8f.jpg,2,High Risk,High
data/Safe/yt_video2_frame004472.jpg,0,Safe,Safe
data/High/custom_safe_highway_0028.jpg,2,High Risk,High
data/High/yt_video1_frame001912.jpg,2,High Risk,High
data/High/33bf8eb2-72cccbaf.jpg,2,High Risk,High
data/Safe/int_video1_frame000473.jpg,0,Safe,Safe
data/Safe/int_video2_frame000443.jpg,0,Safe,Safe
data/High/int_video3_frame003551.jpg,2,High Risk,High
data/Safe/int_video3_frame002060.jpg,0,Safe,Safe
data/High/frame1952_inst_label.png,2,High Risk,High
data/High/yt_video3_frame009635.jpg,2,High Risk,High
data/Safe/int_video1_frame000575.jpg,0,Safe,Safe
data/High/yt_video2_frame000786.jpg,2,High Risk,High
data/High/yt_video2_frame003125.jpg,2,High Risk,High
data/Safe/int_video1_frame000055.jpg,0,Safe,Safe
data/Safe/int_video1_frame000253.jpg,0,Safe,Safe
data/Safe/int_video1_frame000085.jpg,0,Safe,Safe
data/Safe/yt_video2_frame004458.jpg,0,Safe,Safe
data/High/752501_label.png,2,High Risk,High
data/High/yt_video2_frame000128.jpg,2,High Risk,High
data/High/frame20380_inst_label.png,2,High Risk,High
data/Safe/3e5d1ff4-84c55d86.jpg,0,Safe,Safe
data/High/custom_safe_highway_0055.jpg,2,High Risk,High
data/Safe/int_video1_frame000565.jpg,0,Safe,Safe
data/High/98de67f4-333f2136.jpg,2,High Risk,High
data/Safe/frame27880_image.jpg,0,Safe,Safe
data/High/yt_video1_frame003665.jpg,2,High Risk,High
data/Safe/int_video2_frame000119.jpg,0,Safe,Safe
data/Safe/yt_video1_frame001157.jpg,0,Safe,Safe
data/High/yt_video2_frame003893.jpg,2,High Risk,High
data/High/yt_video3_frame009931.jpg,2,High Risk,High
data/Safe/int_video2_frame000606.jpg,0,Safe,Safe
data/Safe/312f26d9-0786f8e6.jpg,0,Safe,Safe
data/High/0022565_inst_label.png,2,High Risk,High
data/High/yt_video1_frame003681.jpg,2,High Risk,High
data/High/yt_video1_frame003071.jpg,2,High Risk,High
data/High/0026606_image.jpg,2,High Risk,High
data/High/81ecf2cd-8edbd4ba.jpg,2,High Risk,High
data/High/511c695f-ce03e71d.jpg,2,High Risk,High
data/High/frame3655_image.jpg,2,High Risk,High
data/High/yt_video2_frame003482.jpg,2,High Risk,High
data/High/yt_video3_frame000893.jpg,2,High Risk,High
data/High/420f02b0-dd36365a.jpg,2,High Risk,High
data/High/yt_video1_frame001707.jpg,2,High Risk,High
data/Safe/int_video1_frame000430.jpg,0,Safe,Safe
data/Safe/int_video2_frame000258.jpg,0,Safe,Safe
data/Safe/int_video2_frame000219.jpg,0,Safe,Safe
data/High/9f03b9b1-1feb165f.jpg,2,High Risk,High
data/High/yt_video2_frame000968.jpg,2,High Risk,High
data/High/yt_video3_frame013850.jpg,2,High Risk,High
data/High/yt_video1_frame000378.jpg,2,High Risk,High
data/High/5af486fe-3d4e3e16.jpg,2,High Risk,High
data/High/539257_image.jpg,2,High Risk,High
data/Safe/int_video3_frame004221.jpg,0,Safe,Safe
data/High/yt_video1_frame000288.jpg,2,High Risk,High
data/High/custom_moderate_city_traffic_0070.jpg,2,High Risk,High
data/High/frame20380_label.png,2,High Risk,High
